Компаний нэр,Символ,Индекс
Авто зам ХК,AAR,369
Авто импекс ХК,AOI,452
Адуун чулуун ХК,ADL,461
Азык ХК,ALD,187
Айтүүлс ХК,ITLS,543
Алтай нэгдэл ХК,ALA,119
Алтайн зам ХК,AZH,227
АПУ ХК,APU,90
Ар баянхангай ХК,ABH,394
Арвижих ХК,ARJ,231
Ард Даатгал ХК,AIC,548
Ард кредит ББСБ ХК,ADB,550
Ард санхүүгийн нэгдэл ХК,AARD,326
Ариг гал ХК,EER,191
АСБИ ХК,CND,33
Атар-Өргөө ХК,ATR,17
Ачит алкабы ХК,NOG,200
Багануур ХК,BAN,396
Барилга корпораци ХК,BRC,476
Баянгол зочид буудал ХК,BNG,13
Баянтээг ХК,BTG,445
Би ди сек ХК,BDS,522
Бинсэ ХК,BHR,315
Бичил 2 ХБҮЦ,BGFI,5009
Бичил Глобус ХБҮЦ,BGF,5007
Блюскай секьюритиз ХК,BSKY,176
Богд Банк ХК,BOGD,558
Бодь Даатгал ХК,BODI,554
Борнуур ХК,BOR,207
Бөөний худалдаа ХК,BHL,435
Бөхөг ХК,BHG,69
Булигаар ХК,MBG,38
Бүтээлч үйлс ХК,BLC,239
Бэрс ХБҮЦ,BERS,5004
Бэрс-2 ХБҮЦ,BERC,5008
Бэрс-3 ХБҮЦ,BERL,5011
Бэрх Уул ХК,BEU,492
Газар Шим Үйлдвэр ХК,GAZR,565
Ган хийц ХК,GHC,234
Гермес центр ХК,HRM,528
Глобал лайф технологи ХК,BAJ,152
Глобал монголиа холдингс ХК,HML,125
Говийн өндөр ХК,JGL,86
Говь ХК,GOV,354
Голомт Банк ХК,GLMT,562
Гонир ХК,GNR,159
Гурил тэжээл Булган ХК,GTJ,263
Гурил ХК,GUR,96
Гутал ХК,GTL,88
Дархан гурил тэжээл ХК,DAR,252
Дархан зочид буудал ХК,DZG,366
Дархан нэхий ХК,NEH,71
Дархан Сэлэнгийн цахилгаан түгээх сүлжээ ХК,DSS,508
Дархан төмөрлөгийн үйлдвэр ХК,DTU,526
Дархан ус суваг ХК,DUS,505
Дархан хөвөн ХК,DAH,254
Дархан хүнс ХК,DHU,380
Дорнод худалдаа ХК,DES,311
Дэвшил мандал ХК,DMA,300
Евроазиа Капитал холдинг ХК ,SUN,246
Женко тур бюро ХК,JTB,521
Жидакс ХК,SOH,385
Жинст-Увс ХК,JIV,6
Жуулчин говь ХК,JGV,61
Жуулчин дюти фрий ХК,SUL,34
Завхан баялаг ХК,BLG,204
И Эс Жи Файнанс ХК,GFG,148
Инвескор ББСБ ХК,INV,553
Ингэттолгой ХК,INT,329
Инновэйшн инвестмент ХК,QPAY,570
Их барилга ХК,IBA,459
Крипто Үндэстэн ХК,CNF,308
ЛэндМН актив ХБҮЦ,LABS,5006
ЛэндМН ББСБ ХК,LEND,545
Люкс занаду групп ХК,BAZ,136
Мандал говь импэкс ХК,MNG,80
Мандал Даатгал ХК,MNDL,547
